mol,Name,Activity,Literature information,EC50
o1c2c(c(Nc3ncccc3)c1NC1CCCCC1)c(c[nH+]c2C)CO,26_2012,Active,26_deepak_2012_JMC,6.93
o1c2c(c(Nc3nccnc3)c1NC1CCCCC1)c(c[nH+]c2C)CO,27_2012,Active,27_deepak_2012_JMC,10.58 
o1c2c(c(Nc3ncccc3)c1Nc1ccccc1)c(c[nH+]c2C)CO,28_2012,Active,28_deepak_2012_JMC,4.91
o1c2c(c(Nc3nccnc3)c1Nc1ccccc1)c(c[nH+]c2C)CO,29_2012,Active,29_deepak_2012_JMC,9.79
o1c2c(c(Nc3ccccc3)c1Nc1ccccc1)c(cnc2C)CO,36_2012,Active,36_deepak_2012_JMC,1.68
o1c2c(c(Nc3ncccc3)c1NCCCC)c(c[nH+]c2C)CO,37a_2012,Active,37a_deepak_2012_JMC,9.38
o1c2c(c(Nc3ncccc3)c1NCCCCC)c(c[nH+]c2C)CO,37b_2012,Active,37b_deepak_2012_JMC,5.81
o1c2c(c(Nc3ncccc3)c1NC(CCC)C)c(c[nH+]c2C)CO,37d_2012,Active,37d_deepak_2012_JMC,9.01
[Si](Nc1oc2c(c1Nc1ncccc1)c(c[nH+]c2C)CO)(C)(C)C,37f_2012,Active,37f_deepak_2012_JMC,4.99 
o1c2c(c(Nc3ncccc3)c1NCCC(OC(C)(C)C)=O)c(c[nH+]c2C)CO,37i_2012,Active,37i_deepak_2012_JMC,7.64 
o1c2c(c(Nc3ncccc3)c1NC(C)c1ccccc1)c(c[nH+]c2C)CO,37m_2012,Active,37m_deepak_2012_JMC,4.27 
o1c2c(c(Nc3ccccc3)c1NCCCCC)c(c[nH+]c2C)CO,38a_2012,Active,38a_deepak_2012_JMC,2.25 
Fc1cc(Nc2c3c(oc2NCCCCC)c([nH+]cc3CO)C)ccc1,38b_2012,Active,38b_deepak_2012_JMC,0.37 
o1c2c(c(Nc3cc([N+](=O)[O-])ccc3)c1NCCCCC)c(c[nH+]c2C)CO,38c_2012,Active,38c_deepak_2012_JMC,0.85 
[sH+]1c2c(nc1C)c(nc1c2cccc1)N,8a_2013,Active,Hari_Prasad_Kokatla_2013_Org_Biomol_Chem,2.06 
[sH+]1c2c(nc1CC)c(nc1c2cccc1)N,8b_2013,Active,Hari_Prasad_Kokatla_2013_Org_Biomol_Chem,0.81 
[sH+]1c2c(nc1CCC)c(nc1c2cccc1)N,8c_2013,Active,Hari_Prasad_Kokatla_2013_Org_Biomol_Chem,1.32 
[sH+]1c2c(nc1CCCC)c(nc1c2cccc1)N,8d_2013,Active,Hari_Prasad_Kokatla_2013_Org_Biomol_Chem,0.41 
[sH+]1c2c(nc1CCCCC)c(nc1c2cccc1)N,8e_2013,Active,Hari_Prasad_Kokatla_2013_Org_Biomol_Chem,1.94 
[sH+]1c2c(nc1C(C)C)c(nc1c2cccc1)N,8i_2013,Active,Hari_Prasad_Kokatla_2013_Org_Biomol_Chem,10.85 
[sH+]1c2c(nc1CC(C)C)c(nc1c2cccc1)N,8j_2013,Active,Hari_Prasad_Kokatla_2013_Org_Biomol_Chem,1.55 
[sH+]1c2c(nc1C(CC)C)c(nc1c2cccc1)N,8n_2013,Active,Hari_Prasad_Kokatla_2013_Org_Biomol_Chem,2.77 
[sH+]1c2c(nc1CC(CC)C)c(nc1c2cccc1)N,8o_2013,Active,Hari_Prasad_Kokatla_2013_Org_Biomol_Chem,2.51 
[sH+]1c2c(nc1CCC(F)(F)F)c(nc1c2cccc1)N,8p_2013,Active,Hari_Prasad_Kokatla_2013_Org_Biomol_Chem,1.61 
[sH+]1c2c(nc1CCCC(F)(F)F)c(nc1c2cccc1)N,8q_2013,Active,Hari_Prasad_Kokatla_2013_Org_Biomol_Chem,6.29 
[sH+]1c2c(nc1CCC)c(nc1cc(N)ccc12)N,10_2013,Active,Hari_Prasad_Kokatla_2013_Org_Biomol_Chem,3.88 
[sH+]1c2c(nc1CCC)c(nc1cc([N-][N+]#N)ccc12)N,11_2013,Active,Hari_Prasad_Kokatla_2013_Org_Biomol_Chem,2.06 
[sH+]1c2c(nc1CCC)c(nc1c2cc(-n2nnc([Si](C)(C)C)c2)cc1)N,12f_2013,Active,Hari_Prasad_Kokatla_2013_Org_Biomol_Chem,9.84 
[sH+]1c2c(nc1CCC)c(nc1c2cccc1)NC(=O)C,15e_2013,Active,Hari_Prasad_Kokatla_2013_Org_Biomol_Chem,0.88 
[sH+]1c2c(nc1CCC)c(nc1c2cccc1)NC(=O)CCC,15f_2013,Active,Hari_Prasad_Kokatla_2013_Org_Biomol_Chem,1.14 
