Reviewed, UniProt_ID, Gene_Name, Gene_ID, Chromosome
Yes,Q6P2L6,Whsc1l1,234135,Chromosome:8
Yes,Q9Z0Z7,Klf5,12224,Chromosome:14
Yes,P16951,Atf2,102641666,Chromosome:2
Yes,O22476,BRI1,830095,Chromosome:4
Yes,Q6PHS6,Snx13,217463,None
Yes,Q8BH74,Nup107,103468,Chromosome:10
Yes,Q6NXW6,Rad17,19356,Chromosome:13
Yes,Q8K298,Anln,68743,Chromosome:9
Yes,P50171,Hsd17b8,14979,Chromosome:17
Yes,Q8BPP0,Znf436,22704,Chromosome:4
Yes,Q924W5,Smc6,67241,Chromosome:12
Yes,O35143,Atpif1,11983,Chromosome:4
Yes,Q9DB27,Mcts1,68995,None
Yes,P14901,Hmox1,15368,Chromosome:8
Yes,P53996,Cnbp,12785,Chromosome:6
Yes,Q80XN0,Bdh1,71911,Chromosome:16
Yes,Q68G58,Apex2,77622,None
Yes,P42227,Stat3,20848,Chromosome:11
Yes,Q99L43,Cds2,110911,Chromosome:2
Yes,Q8BMN3,Chrnb3,108043,Chromosome:8
Yes,P59598,Asxl1,228790,Chromosome:2
Yes,P43021,Nodal,18119,Chromosome:10
Yes,E9Q414,Apob,238055,Chromosome:12
Yes,Q9QXY7,Xk,22439,None
Yes,Q920E5,Fdps,110196,Chromosome:3
Yes,Q9DBX1,Rgcc,66214,Chromosome:14
Yes,P25701,ACP2,841900,Chromosome:1
Yes,Q9D244,Rnase6,78416,None
Yes,Q9Z1L8,Mecom,14013,None
Yes,Q62283,Tspan7,21912,None
Yes,Q8VEK3,Hnrnpu,51810,Chromosome:1
Yes,O08582,Gtpbp1,14904,Chromosome:15
Yes,Q501J6,Ddx17,67040,None
Yes,Q9JMK2,Csnk1e,27373,Chromosome:15
Yes,P61148,Fgf1,14164,Chromosome:18
Yes,P52946,Pdx1,18609,Chromosome:5
Yes,P70160,Calca,12310,Chromosome:7
Yes,Q8BJ66,Kazald1,107250,Chromosome:19
Yes,Q8BH48,Ubap1,67123,Chromosome:4
